,Sampling.Site,Date,Time,Phase,Ethane,Ethene,Propane,Propene,i-Butane,n-Butane,Ethyne,trans-2-Butene,1-Butene,cis-2-Butene,Cyclopentane,i-Pentane,n-Pentane,trans_2-Pentene,1-Pentene,cis-2-Pentene,n-Hexane,Isoprene,"2,4-Dimethylpentane",n-Heptane,Benzene,Cyclohexane,"2,3-Dimethylpentane",2-Methylhexane,3-Methylhexane,"2,2,4-Trimethylpentane",Methylcyclohexane,"2,3,4-Trimethylpentane",Toluene,2-Methylheptane,3-Methylheptane,n-Octane,Ethylbenzene,m- and p-Xylene,Styrene,o-Xylene,n-Nonane,i-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,"1,3,5-Trimethylbenzene",2-Ethyltoluene,"1,2,4-Trimethylbenzene",n-Decane,"1,2,3-Trimethylbenzene","1,3-Diethylbenzene","1,4-Diethylbenzene",C2HCl3,C2Cl4,Methane
1,Northwest,2021-09-17,8:10,Drilling,446.87,0.58,241.51,0.14,48.34,110.06,0.28,0.01,0.03,0.01,3.17,35.81,49.85,0.01,0.02,0.01,21.44,0.04,0.76,8.19,2.67,5.99,2.87,1,2.96,1.08,7.08,0.08,4.14,1.96,1.11,4.19,0.36,1.92,0.03,0.74,4.18,0.06,0.11,0.27,0.09,0.15,0.08,0.49,6.29,0.15,0.02,0.08,0.001,0.033,3398.77
2,Northwest,2021-09-18,14:58,Drilling,204.27,0.59,169.86,0.16,36.89,129.36,0.28,0.01,0.04,0.01,5.93,47.35,74,0.01,0.03,0.01,46.09,0.04,1.72,20.12,5.96,13.54,6.54,2.31,7.18,0.69,18.3,0.14,10.08,5.05,3.15,10.32,0.96,5.03,0.05,1.8,9.23,0.16,0.26,0.63,0.24,0.37,0.2,1.26,13.83,0.34,0.04,0.2,0.001,0.034,2751.27
3,Northwest,2021-09-21,14:54,Drilling,29.23,0.55,21.12,0.11,3.84,12.15,0.27,0.01,0.02,0.01,0.62,4.31,6.45,0,0.02,0.01,4.19,0.04,0.19,3.05,0.76,2.02,1.01,0.35,1.06,0.13,2.74,0.04,1.88,0.88,0.5,2.01,0.19,1.02,0.02,0.41,2.06,0.03,0.06,0.15,0.06,0.08,0.05,0.26,2.99,0.09,0.01,0.04,0.001,0.031,1872.01
4,Northwest,2021-09-20,9:55,Drilling,1932.22,0.61,1753.14,0.3,314.45,791.06,0.29,0.03,0.07,0.1,33.28,297.73,449.47,0.03,0.07,0.01,267.27,0.04,11.16,112.37,31.56,77.17,36.8,13.24,40.3,2.94,115.71,0.75,55.22,26.97,13.52,59.44,4.65,27.73,0.61,10.58,47.92,0.83,1.27,3.49,0.91,1.73,0.96,5.9,42.73,1.39,0.15,0.8,0.001,0.035,5241.17
5,Northwest,2021-09-29,8:32,Drilling,261.84,7,165.66,1.95,30.7,95.91,4.78,0.18,0.33,0.2,4.55,36.04,47.96,0.09,0.15,0.06,29.97,0.02,1.23,29.96,7.01,16.04,7.81,2.87,6.53,1.3,37.94,0.3,23.28,15.43,10.66,43.82,13.99,30.73,1.48,16.64,73.19,1.46,2.72,7.58,2.65,5.12,2.51,15.51,199.96,4.12,0.94,3.38,0.019,0.04,9178.57
6,Northwest,2021-10-01,11:13,Drilling,178.92,1.18,123.2,0.44,20.3,62.55,0.59,0.03,0.09,0.03,2.36,19.64,27.68,0.02,0.05,0.01,16.92,0.02,0.53,8.44,2.68,5.92,2.74,0.99,2.22,0.81,9.54,0.47,6.03,2.91,1.58,5.96,1.36,4.13,0.11,1.78,5.59,0.15,0.28,0.72,0.27,0.49,0.24,1.54,15.01,0.4,0.06,0.31,0.006,0.058,2998.25
7,Northwest,2021-09-23,14:17,Drilling,102.9,1.47,48.64,0.45,7.75,22.12,0.3,0.02,0.07,0.02,0.64,4.84,7.24,0,0.02,0.01,4.17,0.04,0.18,2.81,0.76,1.96,0.96,0.33,0.96,0.22,2.47,0.04,1.73,1.31,0.79,3.25,0.26,1.61,0.04,0.66,4,0.06,0.12,0.3,0.11,0.17,0.09,0.55,6.51,0.08,0.01,0.11,0.001,0.035,3729.47
8,Northwest,2021-09-25,14:14,Drilling,23.57,0.59,14.21,0.16,2.11,5.83,0.32,0.01,0.03,0.01,0.24,2.13,2.54,0,0.02,0.01,1.61,0.02,0.07,1.15,0.35,0.73,0.4,0.15,0.3,0.1,1.38,0.01,0.93,0.44,0.28,1.19,0.16,0.68,0.01,0.28,1.55,0.02,0.04,0.13,0.05,0.08,0.04,0.24,3.51,0.07,0.01,0.04,0.002,0.036,1864.92
9,Northwest,2021-10-01,11:58,Drilling,815.18,2.49,568.37,1.29,94.92,286.19,0.9,0.12,0.31,0.11,9.68,85.02,118.88,0.02,0.16,0.01,62.08,0.01,1.99,34.42,10.43,23.16,10.7,3.81,8.1,2.85,36.31,0.25,20.74,9.07,4.77,22.83,1.89,13.81,0.4,5.22,21.45,0.55,1.03,2.74,0.94,1.84,0.87,5.88,67.79,1.5,0.3,1.3,0.065,0.058,4899.46
10,Northwest,2021-09-30,11:35,Drilling,70.26,0.72,43.44,0.24,7.26,21.81,0.34,0.02,0.05,0.01,0.85,7.19,9.76,0.01,0.02,0.01,5.38,0.02,0.2,3.01,0.93,2.17,1.06,0.38,0.82,0.28,3.53,0.03,2.2,1.02,0.58,2.72,0.28,1.66,0.05,0.7,3.31,0.06,0.12,0.35,0.11,0.22,0.11,0.68,8.47,0.21,0.03,0.14,0.002,0.038,2388.56
11,Northwest,2021-10-02,21:23,Drilling,42.88,0.85,34.52,0.24,6.36,21.11,0.5,0.01,0.04,0.01,1.18,8.16,12.19,0.01,0.02,0.01,8.63,0.01,0.29,5.24,1.51,3.31,1.57,0.58,1.27,0.47,5.16,0.07,3.28,1.34,0.71,3.12,0.32,2.21,0.05,0.83,2.5,0.06,0.12,0.31,0.12,0.2,0.1,0.6,5.99,0.16,0.02,0.1,0.003,0.054,2328.06
12,Northwest,2021-10-01,22:42,Drilling,659.61,1.73,563.55,0.81,100.72,321.39,0.9,0.08,0.22,0.08,11.1,95.02,139.57,0.05,0.13,0.03,88.32,0.01,2.76,41.42,11.83,25.92,12.06,4.33,10.13,2.94,42.54,0.32,22.67,9.84,5.31,23.21,2.25,14.55,0.37,5.43,19.4,0.46,0.88,2.18,0.94,1.55,0.74,4.84,62.12,1.18,0.15,0.97,0.008,0.055,4843.34
13,Northwest,2021-10-04,12:59,Drilling,31.29,0.65,22.53,0.21,4.14,13.32,0.38,0.01,0.03,0.01,0.77,5.29,7.75,0,0.02,0.01,5.81,0.01,0.2,3.68,1.01,2.3,1.13,0.42,0.94,0.36,3.97,0.05,2.43,1.12,0.61,2.5,0.27,1.77,0.05,0.75,2.17,0.06,0.11,0.29,0.11,0.18,0.1,0.56,5.22,0.15,0.02,0.1,0.003,0.053,1914.07
14,Northwest,2021-10-06,22:34,Drilling,20591.91,0.71,13290.45,12.94,2637.86,8869.38,0.42,1.96,4.5,2.95,336.89,2891.51,4385.24,1.67,3.32,1.01,2923.38,0.86,94.37,1294.14,360.17,785.52,389.65,134.79,296.86,95.5,1207.27,9.41,751.03,346.85,197.34,704.77,72.07,525.41,11.99,199.24,465.64,20.48,39.42,98.02,33.14,63.71,31.93,213.64,1554.24,56.11,7.16,40.43,0.003,0.568,103917.87
15,Northwest,2021-10-07,18:13,Drilling,112.93,0.55,135.36,0.33,35,136.54,0.35,0.04,0.07,0.04,9.95,64.08,104.85,0.05,0.07,0.04,96.83,0.01,3.43,51.16,11.97,29.31,15.04,5.25,13,3.86,49.65,0.4,28.37,14.39,7.87,30.31,3.01,19.41,0.23,7.04,16.63,0.66,1.26,2.92,1.06,1.86,1,6.2,32.57,1.71,0.22,1.15,0.002,0.092,2097.57
16,Northwest,2021-10-08,13:15,Drilling,114.94,0.78,90.35,0.28,17.16,60.7,0.48,0.03,0.06,0.02,3.61,24.28,38.75,0.02,0.03,0.01,33.95,0.01,1.19,18.81,4.39,10.64,5.62,1.95,4.52,1.39,15.96,0.16,9.99,4.93,2.64,10.12,0.95,6.49,0.07,2.2,5.15,0.19,0.38,0.89,0.29,0.55,0.29,1.85,9.23,0.53,0.07,0.34,0.003,0.043,2699.97
17,Northwest,2021-10-08,13:48,Drilling,3107.64,1.17,1353.73,0.55,176.88,490.34,0.36,0.06,0.11,0.05,11.17,118.98,164.95,0.03,0.06,0.01,89.29,0.01,16.5,37.12,11.83,23.95,12.57,4.27,9.33,3.28,3.44,0.29,18.78,9.58,5.59,19.19,1.81,11.63,0.1,4.65,9.52,0.32,0.63,1.6,0.44,0.91,0.48,2.96,13.36,0.75,0.09,0.52,0.002,0.067,19548.23
18,United,2021-10-16,12:14,Drilling,83.8,1.41,55.63,0.48,9.68,31.17,0.72,0.04,0.1,0.03,1.48,10.81,16.06,0.01,0.04,0.01,10.79,0.02,0.4,7.41,1.78,4.51,2.25,0.81,1.93,0.73,8.11,0.1,5.28,2.78,1.65,6.45,0.64,4.63,0.06,2.07,4.47,0.15,0.32,0.71,0.29,0.48,0.25,1.61,10.24,0.46,0.06,0.31,0.002,0.037,2875.72
19,United,2021-10-15,5:06,Drilling,14.64,0.84,9.64,0.25,1.72,5.43,0.48,0.02,0.05,0.01,0.39,2.4,3.49,0,0.02,0.01,3.35,0.01,0.14,2.74,0.64,1.56,0.8,0.28,0.71,0.24,2.69,0.04,1.86,0.94,0.57,2.1,0.23,1.54,0.02,0.64,1.32,0.04,0.09,0.21,0.08,0.13,0.07,0.44,2.63,0.14,0.02,0.08,0.002,0.027,1887
20,United,2021-10-18,14:52,Drilling,83.29,2.74,53.47,1.38,8.95,28.67,1.18,0.12,0.31,0.1,1.61,10.45,15.64,0.03,0.09,0.03,12.31,0.03,0.45,10.07,2.37,5.71,2.81,0.99,2.41,0.9,11.18,0.14,7.41,3.84,2.32,9.72,1.03,7.46,0.09,3.43,8.12,0.25,0.53,1.29,0.53,0.88,0.43,3,22.69,0.86,0.1,0.59,0.007,0.055,5247.8
21,United,2021-10-09,4:51,Drilling,90.05,1.24,65.63,0.32,14.31,50.36,1.05,0.03,0.05,0.02,3.63,22.06,35.49,0.02,0.05,0.02,38.69,0.01,1.8,25.34,4.91,12.68,6.83,2.41,5.8,5.02,26.82,0.21,13.94,7.33,4.5,16.29,1.58,12.05,0.12,4.87,10.15,0.4,0.8,2.07,0.56,1.32,0.61,4.16,15.09,1.06,0.12,0.75,0.004,0.054,3362.92
22,United,2021-10-22,15:50,Drilling,239.59,4.25,161.25,2.79,29.06,84.49,0.56,0.25,0.61,0.23,3.39,32.05,38.07,0.1,0.28,0.07,24.81,0.09,1.01,13.3,3.92,9.37,4.65,1.51,3.83,1.76,18.33,0.09,9.26,4.36,2.8,11.32,1.52,7.94,0.1,3.76,9.57,0.26,0.53,1.4,0.44,0.96,0.44,3.04,31.11,0.82,0.12,0.58,0.003,0.098,5250
23,United,2021-10-30,13:07,Drilling,171.31,0.94,105.64,0.72,15.95,50.38,0.47,0.07,0.13,0.07,2.09,15.46,22.45,0.05,0.02,0.01,14.81,0.01,0.58,9.33,2.47,5.97,2.93,1.04,2.47,1.07,11.02,0.12,7.58,3.51,2.26,9.4,1.28,7.7,0.19,3.77,9.98,0.33,0.69,1.88,0.58,1.32,0.64,4.24,56.4,1.36,0.24,1.04,0.022,0.057,7022.46
24,United,2021-11-05,5:11,Drilling,70.06,3.19,21.27,0.41,4.41,6.59,0.61,0.02,0.05,0.02,0.25,2.27,2.65,0.01,0.02,0.01,1.32,0.01,0.08,0.91,0.38,0.61,0.33,0.13,0.29,0.13,1.14,0.02,0.92,0.32,0.22,0.81,0.11,0.67,0.01,0.28,0.75,0.02,0.05,0.14,0.04,0.09,0.05,0.27,4,0.12,0.02,0.06,0.005,0.058,2386.89
25,United,2021-11-05,9:19,Drilling,308.59,8.64,140.94,2.3,20.93,58.69,1.53,0.18,0.39,0.17,2.22,20.01,24.32,0.1,0.17,0.08,15.72,0.03,0.71,10.57,2.84,6.34,3.21,1.12,2.55,0.98,15.26,0.1,7.23,3.6,2.34,9.29,1.48,7.1,0.17,3.59,9.12,0.31,0.62,1.52,0.6,1.18,0.6,3.74,57.63,1.16,0.18,0.89,0.004,0.097,5689.25
26,United,2021-09-18,8:22,Drilling,26.41,5.33,12.52,1.24,2.29,8.28,7.64,0.15,0.19,0.16,0.59,9.02,5.98,0.16,0.16,0.13,2.81,0.11,0.27,1.93,1.51,1.29,0.92,0.39,0.89,0.4,2.07,0.09,16.07,0.79,0.56,1.74,8.1,36.09,0.24,10.2,1.19,0.12,0.16,0.42,0.19,0.2,0.16,0.79,0.88,0.09,0.06,0.15,0.006,0.043,5790.06
27,United,2021-09-18,10:02,Drilling,25.56,5.52,8.32,1.08,1.41,3.52,4.34,0.07,0.16,0.07,0.22,3.93,2.13,0.05,0.02,0.07,0.5,0.25,0.13,0.21,0.84,0.32,0.27,0.17,0.24,0.31,0.17,0.09,6.55,0.12,0.09,0.34,4.61,21.1,0.17,6.37,0.14,0.06,0.07,0.18,0.08,0.06,0.08,0.3,0.15,0.08,0.01,0.06,0.01,0.045,3820.6
28,United,2021-09-18,23:25,Drilling,54.37,0.73,45.03,0.22,9.86,35.61,0.46,0.02,0.04,0.01,2.28,15.55,24.97,0.01,0.03,0.01,18.1,0.03,0.78,9.3,2.46,5.98,2.99,1.08,3.54,0.35,8.39,0.08,5.38,2.41,1.5,5.46,0.52,2.79,0.03,0.99,5.04,0.08,0.13,0.35,0.1,0.17,0.1,0.58,4.7,0.21,0.03,0.08,0.001,0.015,2593.7
29,United,2021-09-25,5:59,Drilling,70.68,1.12,38.44,0.39,5.91,16.23,0.46,0.02,0.07,0.02,0.59,5.72,6.61,0.01,0.04,0.01,3.85,0.02,0.18,2.41,0.7,1.63,0.85,0.29,0.6,0.25,3,0.03,1.95,0.81,0.49,2.15,0.18,1.3,0.02,0.47,2.21,0.05,0.09,0.22,0.08,0.13,0.07,0.42,4.35,0.18,0.03,0.08,0.003,0.036,2909.17
30,United,2021-10-08,4:00,Drilling,33.15,0.74,28.3,0.17,5.57,19.25,0.48,0.01,0.02,0.01,0.95,7.27,11,0.01,0.02,0.01,7.96,0.01,0.28,3.92,1.06,2.46,1.29,0.45,1.01,0.37,3.3,0.04,2.29,1,0.57,2.04,0.2,1.29,0.02,0.46,1,0.04,0.08,0.18,0.06,0.1,0.06,0.33,1.54,0.16,0.02,0.06,0.002,0.037,2572.74
31,United,2021-10-15,4:49,Drilling,19.65,1.1,13.38,0.29,2.42,7.31,0.64,0.03,0.05,0.02,0.49,3.1,4.47,0.01,0.02,0.01,4.03,0.01,0.19,3.42,0.82,1.79,1,0.36,0.89,0.29,3.18,0.06,2.61,1.15,0.69,2.41,0.29,1.64,0.03,0.7,1.5,0.04,0.1,0.22,0.08,0.13,0.08,0.42,2.72,0.14,0.02,0.07,0.003,0.047,2307.08
32,United,2021-10-16,18:32,Drilling,4795.8,26.1,3161.73,12.18,383.88,1151.12,13.32,0.97,2.48,1.01,45.2,344.36,503.53,0.66,0.75,0.01,358.68,0.43,15.48,328.38,58.26,177.04,97.5,33.45,87.52,26.94,351.43,2.93,219.94,133.31,78.62,297.1,29.93,200.03,3.64,91.71,186.61,7.8,15.85,34.45,12.57,22,11.65,73.1,373.56,18.61,2.64,13.03,0.002,0.766,27254.52
33,United,2021-10-18,21:20,Drilling,253.18,8.99,318.1,7.04,23.88,73.32,0.52,0.65,1.39,0.52,3.76,24.66,37.32,0.18,0.46,0.12,29.16,0.09,1.06,23.86,5.39,13.06,6.75,2.42,5.7,2.26,27.17,0.28,18.05,9.13,5.45,23.41,2.58,17.12,0.17,8.21,20.12,0.61,1.29,2.87,1.2,2,0.99,6.79,51.22,1.81,0.25,1.3,0.002,0.035,6804.62
34,United,2021-10-16,0:41,Drilling,68.8,1.05,37,0.31,5.92,17.85,0.48,0.03,0.06,0.02,0.75,5.86,8.31,0.01,0.03,0.01,5.32,0.01,0.21,3.68,0.95,2.19,1.14,0.41,1.01,0.35,3.92,0.06,3.01,1.34,0.76,3.11,0.33,2.23,0.04,1.01,2.12,0.06,0.15,0.35,0.13,0.22,0.12,0.76,5.19,0.23,0.03,0.14,0.002,0.033,2629.63
35,United,2021-10-22,23:21,Drilling,160.87,3.45,97.88,1.78,15.42,44.12,1.11,0.15,0.34,0.13,1.71,16.01,18.87,0.07,0.14,0.04,11.69,0.05,0.49,7.04,2.23,4.86,2.43,0.81,1.89,0.87,9.8,0.06,5.22,2.38,1.5,6.06,0.8,4.43,0.05,2.13,5.28,0.14,0.29,0.79,0.26,0.54,0.24,1.71,17.26,0.46,0.07,0.32,0.003,0.077,3689.25
36,United,2021-10-24,3:15,Drilling,429.71,4.06,353.97,2.1,55.05,161.94,1.44,0.23,0.47,0.2,6.72,62.62,74.97,0.09,0.24,0.08,50.83,0.03,2.11,26.37,7.88,19.08,9.47,3.04,6.71,3.07,41.06,0.19,18.63,9,5.58,21.84,2.19,15.35,0.18,7.16,17.45,0.49,0.96,2.45,0.91,1.85,0.77,5.56,54.88,1.36,0.16,1.03,0.007,0.041,5452.03
37,United,2021-10-21,20:48,Drilling,578.87,11.45,415.42,6.38,49.39,144.12,3.91,0.71,1.43,0.63,5.3,44.24,56.66,0.23,0.41,0.13,34.31,0.2,1.63,27.7,8.7,18.12,8.66,3.2,7.14,3.01,37.05,0.35,24.91,12.93,7.99,34.97,3.93,25.84,0.64,14.3,34.07,1.04,2.23,5.18,2.03,3.44,1.8,11.56,89.1,3.14,0.43,2.16,0.015,1.072,11032.97
38,United,2021-11-05,1:30,Drilling,241.32,6.28,127.8,2.07,19.46,55.55,0.6,0.18,0.39,0.16,2.26,19.68,24.29,0.05,0.16,0.04,15.78,0.03,0.65,11.78,2.86,6.95,3.52,1.16,2.71,1.01,15.6,0.09,7.74,3.84,2.55,10.03,1.16,7.91,0.16,3.77,9.94,0.31,0.63,1.71,0.63,1.3,0.63,3.96,55.38,1.19,0.24,0.99,0.004,0.044,4649.67
39,United,2021-11-03,23:45,Drilling,656.04,8.29,423.81,5.39,74.57,218.07,1.53,0.53,1.05,0.45,9.83,85.33,104.41,0.19,0.49,0.15,83.1,0.08,3.39,42.57,10.96,30.3,14.71,4.75,10.78,4.21,60.66,0.28,26.83,12.46,8.08,30.39,3.83,23.25,0.57,10.26,24.4,0.93,1.85,4.67,1.85,3.42,1.77,10.52,111.54,3.09,0.5,2.53,0.007,1.17,6333.93
40,United,2021-10-29,18:45,Drilling,65.78,1.79,46.58,0.42,6.47,20.41,0.48,0.04,0.07,0.04,0.9,6.85,9.61,0.02,0.04,0.01,5.36,0.01,0.24,4.03,1.24,2.58,1.27,0.45,0.96,0.36,4.47,0.22,3.03,1.26,0.79,3.12,0.39,2.49,0.04,1.09,2.63,0.09,0.16,0.43,0.17,0.31,0.13,0.95,13.18,0.34,0.06,0.19,0.002,0.035,3974.2
41,United,2021-11-05,8:23,Drilling,200.45,3.21,134.62,1.51,16.84,49.23,0.62,0.11,0.28,0.1,2.49,19.25,23.99,0,0.02,0.01,13.92,0.07,1.27,12.42,2.73,8.7,4.48,1.49,3.68,1.25,20.98,0.11,10.32,5.41,3.63,14.47,2.15,11.51,0.24,5.91,15.23,0.5,1.02,2.66,0.84,1.93,0.98,6.1,92.57,1.84,0.27,1.5,0.004,0.045,2408.8
42,United,2021-11-05,21:52,Drilling,2025.37,26.2,1196.89,11.79,134.08,350.51,0.6,0.89,2.37,0.81,9.06,100.63,113.19,0.3,0.85,0.18,44.85,0.2,2.43,36.48,10.18,24.4,12.05,4,9.79,3.34,53.21,0.3,25.3,12.29,8.15,33.54,5.01,25.67,0.5,13.94,34.13,1.08,2.26,5.56,2.26,4.5,2.18,14.06,256.67,4.26,0.74,3.59,0.004,0.387,21562.21
