,Sampling.Site,Date,Time,Phase,Ethane,Ethene,Propane,Propene,i-Butane,n-Butane,Ethyne,trans-2-Butene,1-Butene,cis-2-Butene,Cyclopentane,i-Pentane,n-Pentane,trans_2-Pentene,1-Pentene,cis-2-Pentene,n-Hexane,Isoprene,"2,4-Dimethylpentane",n-Heptane,Benzene,Cyclohexane,"2,3-Dimethylpentane",2-Methylhexane,3-Methylhexane,"2,2,4-Trimethylpentane",Methylcyclohexane,"2,3,4-Trimethylpentane",Toluene,2-Methylheptane,3-Methylheptane,n-Octane,Ethylbenzene,m- and p-Xylene,Styrene,o-Xylene,n-Nonane,i-Propylbenzene,n-Propylbenzene,3-Ethyltoluene,4-Ethyltoluene,"1,3,5-Trimethylbenzene",2-Ethyltoluene,"1,2,4-Trimethylbenzene",n-Decane,"1,2,3-Trimethylbenzene","1,3-Diethylbenzene","1,4-Diethylbenzene",C2HCl3,C2Cl4,Methane
43,United,2021-11-28,19:44,Drilling,1030.37,2.37,407.06,0.5,69.04,171.89,0.5,0.11,0.1,0.09,3.07,43.42,49.42,0.49,0.17,0.22,16.2,0.04,1.12,6.61,2.59,5.19,2.7,1.76,1.96,3.29,5.83,0.46,5.61,1.72,0.98,3.32,0.43,2.86,0.04,1.07,2.02,0.07,0.14,0.41,0.12,0.24,0.14,0.79,8.05,0.3,0.05,0.17,0.003,0.052,9836.75
44,United,2021-12-03,6:25,Drilling,2036.61,7.99,931.46,1.4,174.95,406.49,2.49,0.12,0.23,0.12,14.1,142.83,202.9,0.08,0.12,0.06,114.92,0.01,3.44,37.8,12.25,27.29,12.83,4.58,9.21,4.08,33.48,0.28,17.74,7.49,4.21,14.5,1.33,8.64,0.1,3.33,5.43,0.22,0.43,1.05,0.33,0.56,0.33,1.84,8.68,0.54,0.07,0.28,0.02,0.077,12339.87
45,Anthem,2020-03-25,8:21,pre,1261.66,1.42,566.96,0.28,99.73,247.76,0.74,0.02,0.05,0.01,7.04,90.91,97.55,0,0.02,0.01,66.63,0.01,3.74,35.49,8.42,23.56,13.84,3.78,15.07,5.74,50.31,0.15,19.1,9.98,6.71,19.33,2.56,16.03,0.11,3.07,6.05,0.59,0.13,0.98,0.32,0.95,0.15,1.84,2.34,0.25,0.03,0.18,0.011,0.019,8730.36
46,Interchange,2022-07-13,22:40,pre,1156.39,0.79,667.39,0.21,103.22,306.47,0.25,0.01,0.06,0.02,14.24,94.67,135.87,0,0.05,0.01,77.54,0.06,6.16,49.63,15.81,31.79,15.3,5.53,14.36,0.36,65.13,0.4,23.68,11.44,5.94,21.84,1.84,13.36,0.07,4.43,7.55,0.31,0.53,1.18,0.49,0.72,0.34,2.18,2.95,0.5,0.06,0.21,0.002,0.014,9479.75
47,Interchange,2022-07-13,22:38,pre,241.33,0.77,146.89,0.22,23.37,70.16,0.25,0.01,0.08,0.01,2.44,22.05,31.79,0.01,0.09,0.01,17.95,0.06,0.67,7.73,2.59,5.63,2.67,0.99,2.34,0.18,7.69,0.08,4.5,2.28,1.21,4.09,0.35,2.2,0.02,0.68,1.55,0.06,0.1,0.23,0.1,0.14,0.06,0.41,0.73,0.12,0.01,0.05,0.003,0.014,2728.84
48,Livingston,2020-04-17,19:58,pre,41.27,0.74,21.18,0.11,3.45,9.52,0.72,0.01,0.02,0.01,0.3,3.03,3.71,0,0.02,0.01,2.21,0,0.03,0.31,0.97,0.54,0.68,0.34,0.21,0.41,0.47,1.04,0.29,0.52,0.25,0.26,0.39,0.16,0.2,0.04,0.12,0.1,0.02,0.02,0.03,0.01,0.02,0.02,0.03,0.11,0.02,0.01,0.013,0.003,2970.91
49,Livingston,2020-02-22,21:12,pre,190.41,4.32,103.57,0.76,17.44,49.27,1.21,0.02,0.13,0.03,1.41,14.46,19.68,0,0.15,0.01,9.29,0.07,0.38,4,1.2,3.32,1.58,0.58,1.65,0.79,4.34,0.05,2.34,1.09,0.53,2,0.27,1.1,0.01,0.38,0.85,0.14,0.09,0.08,0.02,0.03,0.01,0.13,0.34,0.08,0.01,0.03,0.28,0.139,4373.56
50,Livingston,2020-02-28,23:50,pre,748.22,1.17,341.83,0.22,57.63,149.14,0.75,0.01,0.04,0.01,3.99,49.59,54.27,0,0.04,0.01,26.41,0.01,1.31,13.41,3.79,10.53,5.29,1.6,6.03,2.49,19.56,0.12,7.67,3.75,2.29,7.13,1.06,4.67,0.05,1.32,2.92,0.26,0.08,0.37,0.15,0.36,0.07,0.78,1.22,0.08,0.01,0.09,0.07,0.018,5926.83
51,Livingston,2020-03-03,19:33,pre,845.18,1.22,368.64,0.19,66.56,162.54,0.64,0.02,0.03,0.02,5.44,54.24,78.69,0,0.03,0.01,46.18,0.01,1.55,17,4.68,12.37,6.08,2.17,7.14,2.93,16.67,0.17,8.01,4.15,2.14,7.28,0.74,3.61,0.05,1.37,2.65,0.2,0.11,0.39,0.13,0.22,0.1,0.68,0.93,0.21,0.03,0.08,0.049,0.013,7532.25
52,Livingston,2020-03-06,21:45,pre,45.7,2.69,28.89,0.56,9.08,30.66,0.72,0.06,0.1,0.08,3.18,21.77,30.99,0.01,0.05,0.01,41.37,0,2.27,29.16,3.41,17.18,9.95,3.05,13.56,4.89,40.66,0.2,15.57,9.65,5.88,20.23,1.54,16.75,0.12,3.86,8.63,0.68,0.23,1.38,0.38,1.05,0.27,2.5,2.93,0.37,0.05,0.25,0.031,0.047,2865.11
53,Livingston,2020-03-17,19:01,pre,47.03,0.79,25.48,0.2,4.73,12.88,0.52,0.01,0.03,0.01,0.45,4.91,5.49,0,0.02,0.01,3.27,0.01,0.17,1.71,0.58,1.38,0.76,0.23,0.87,0.34,2.6,0.09,1.3,0.61,0.34,1.07,0.08,0.84,0.01,0.22,0.45,0.04,0.02,0.06,0.02,0.05,0.01,0.12,0.22,0.08,0.01,0.02,0.029,0.006,2320.79
54,Livingston,2020-03-24,20:41,pre,1236.99,3.35,771.71,1.09,153.25,444.37,1.75,0.05,0.15,0.06,20.25,206.71,243.94,0,0.12,0.01,199.88,0,11.98,91.45,25.61,65.96,37.68,10.2,48.01,15.23,125.25,0.73,46.39,22.76,15,42.32,2.21,26.95,0.2,6.59,13.91,1.24,0.3,2.07,0.62,1.9,0.31,3.95,5.33,0.56,0.08,0.41,0.143,0.1,11235.73
55,Livingston,2020-03-24,22:17,pre,433.7,1.74,298.08,0.58,57.17,164.39,0.46,0.03,0.07,0.01,6.83,72.49,83.73,0,0.02,0.01,54.22,0,3,28.49,8.06,21.57,12.11,3.37,13.91,4.99,40.52,0.17,14.7,7.65,4.87,13.99,0.79,8.71,0.06,2.19,4.54,0.41,0.08,0.56,0.2,0.56,0.08,1.11,1.72,0.08,0.01,0.13,0.015,0.026,6375.22
56,Livingston,2020-03-25,17:36,pre,1952.13,0.62,878.9,0.16,152.61,388.03,0.44,0.01,0.03,0.01,11.65,140.58,153.82,0,0.02,0.01,92.46,0,5.08,54.92,14.28,37.62,21.45,5.94,24.49,9.07,79.65,0.16,42.31,16.89,11.03,33.84,2.17,24.18,0.09,6.37,13.16,1.28,0.32,2.13,0.75,2.17,0.33,4.36,6.21,0.58,0.09,0.47,0.056,0.023,15220.19
57,Livingston,2020-05-25,4:16,pre,275.14,2.51,155.15,0.24,27.67,78.43,1.16,0.02,0.05,0.01,2.41,26.42,32.66,0,0.05,0.01,18.05,0.01,0.75,6.92,2.56,5.88,2.8,0.92,3.2,1.32,8.75,0.05,3.42,1.51,0.9,2.79,0.24,1.62,0.03,0.44,0.79,0.08,0.08,0.12,0.06,0.08,0.04,0.21,0.27,0.08,0.01,0.03,0.135,0.009,4897.18
58,Northwest,2021-11-30,10:10,pre,990.21,1.19,469.68,0.22,93.53,204.99,0.45,0.01,0.04,0.01,7.07,71.54,101.63,0,0.03,0.01,54.88,0,1.62,17.39,5.29,13.34,5.98,2.21,4.51,2.27,18.14,0.13,7.03,3.54,1.91,6.19,0.52,3.05,0.03,1.04,1.66,0.08,0.12,0.27,0.09,0.13,0.07,0.43,0.66,0.16,0.02,0.06,0.003,0.057,6544.8
59,Northwest,2021-12-04,4:06,pre,518074.38,73.54,335470.65,22.83,37230.66,96354.43,17.75,0.5,4.97,1.13,1421.01,19286.3,22701.77,0.45,1.46,0.26,8222.94,0,204.54,1130.08,556.57,1398.73,504.56,183.81,322.57,146.51,1134.25,5.52,359.53,128.4,66.23,180.86,11.68,71.68,0.63,20.86,23.55,1.08,1.83,3.67,1.38,2.02,1.06,6.28,5.58,0.08,0.01,0.96,0.004,0.028,1093558.39
60,Northwest,2021-12-04,16:22,pre,192.85,1.36,109.85,0.21,19.97,65.45,0.62,0.01,0.03,0.02,4.88,31.23,50.82,0,0.02,0.01,39.79,0,1.3,17.77,4.57,12.34,5.9,2.08,4.01,2.26,16.27,0.13,8.04,3.44,1.99,6.74,0.59,4,0.02,1.32,2.01,0.09,0.15,0.36,0.13,0.21,0.1,0.67,0.84,0.16,0.01,0.1,0.004,0.029,2886.73
61,Northwest,2022-01-17,21:51,pre,1012.8,2.01,541.43,0.35,91.22,277.56,1.39,0.02,0.05,0.03,11.06,82.91,118.51,0.01,0.02,0.01,60.62,0.01,3.85,24.07,8.86,19.98,8.89,3.16,6.46,4.46,28.84,0.17,9.95,4.03,2.21,6.88,0.63,3.81,0.06,1.24,1.79,0.08,0.14,0.31,0.12,0.19,0.09,0.55,0.7,0.2,0.03,0.07,0.007,0.035,6620.12
62,Northwest,2022-02-03,18:35,pre,736.42,2.53,292.49,0.42,79.66,160.23,1.71,0.02,0.06,0.03,10.54,53.76,81.37,0.01,0.03,0.01,95.87,0.01,4.26,33.67,11.22,32.54,14.96,5.26,12.06,7.44,40.16,0.33,21.39,9.93,5.8,16.33,1.38,9.1,0.14,3.26,4.98,0.15,0.25,0.59,0.2,0.34,0.15,0.96,1.46,0.26,0.03,0.1,0.009,0.035,5300.46
63,Northwest,2022-02-18,1:29,pre,319.44,0.85,146.48,0.13,31,79.86,0.65,0.01,0.01,0.01,3.72,33.04,47.88,0,0.02,0.01,32.09,0,1.41,11.27,4.21,8.55,4.03,1.43,2.96,2.08,14.01,0.08,5.66,2.81,1.58,5.14,0.44,3.2,0.03,1.16,2.13,0.08,0.14,0.36,0.13,0.24,0.09,0.65,0.86,0.2,0.02,0.09,0.002,0.011,3907.98
64,Northwest,2022-02-25,0:08,pre,1994.44,2.4,1264.11,0.35,209.13,624.6,1.67,0.02,0.05,0.03,20.6,175.83,244.1,0,0.02,0.01,157.21,0,7.02,41.19,15.45,38.8,17.22,5.95,12.91,8.57,53.8,0.28,19.91,8.46,4.37,14.17,1.11,7.78,0.11,2.44,3.64,0.16,0.27,0.61,0.25,0.4,0.16,1.05,1.08,0.27,0.04,0.12,0.005,0.024,10532.84
65,Northwest,2022-03-04,0:35,pre,309.98,0.76,168.1,0.12,29.74,90.44,0.67,0.07,0.04,0.06,4.01,28.58,40.44,0,0.03,0.01,34.92,0,1.7,11.73,4.08,8.75,4.13,1.44,3.22,2.08,15.49,0.1,5.34,2.51,1.39,4.68,0.37,2.57,0.03,0.86,1.51,0.07,0.12,0.27,0.1,0.17,0.07,0.48,0.57,0.17,0.02,0.07,0.001,0.015,3523.01
66,Northwest,2022-03-08,4:40,pre,646.96,0.86,301.1,0.13,63.07,154.2,0.8,0.01,0.01,0.01,6.38,62.04,85.99,0,0.02,0.01,51.12,0,2.09,17.09,6.92,13.56,6.26,2.17,5.08,3.15,19.65,0.11,8.39,3.72,2.26,6.93,0.63,4.31,0.1,1.34,2.31,0.07,0.14,0.34,0.11,0.28,0.08,0.68,0.87,0.16,0.02,0.05,0.002,0.012,5931.26
67,Northwest,2021-12-04,4:16,pre,3917.83,4.32,1932.23,0.82,289.99,804.46,2.01,0.05,0.16,0.06,18.78,269.4,342.51,0.02,0.1,0.04,129.79,0,3.37,28.34,10.88,27.69,11.37,4.23,8.23,5.14,27.08,0.21,11.8,4.68,2.44,7.85,0.64,3.71,0.05,1.29,1.76,0.08,0.12,0.27,0.12,0.14,0.08,0.45,1.17,0.08,0.01,0.07,0.014,0.11,16892.94
68,Soaring Eagle,2020-08-11,23:04,pre,138.21,1.29,59.13,0.28,9.22,19.6,1.23,0.02,0.04,0.01,0.56,6.88,7,0,0.02,0.01,9.11,0.08,0.72,3.24,1.81,2.29,1.8,0.52,1.95,0.52,3.69,0.03,2.66,0.76,0.58,1.1,0.06,0.73,0.01,0.14,0.26,0.03,0.02,0.05,0.02,0.03,0.01,0.07,0.09,0.23,0.02,0.05,0.011,0.002,2780.25
69,United,2021-12-04,4:37,pre,1856.66,3.06,640.88,0.58,97.46,287.16,1.36,0.02,0.08,0.04,7.16,80.38,106.56,0.01,0.03,0.01,61.75,0.01,1.96,14.1,4.93,12.55,5.48,1.97,4.12,2.04,15.23,0.11,5.63,2.29,1.26,4.07,0.38,2.15,0.02,0.75,1.17,0.03,0.08,0.18,0.07,0.1,0.06,0.32,0.94,0.08,0.01,0.04,0.008,0.038,19496.19
70,United,2021-12-04,4:45,pre,1740.12,8.35,635.26,1.32,115.63,279.71,2.64,0.05,0.14,0.06,7.78,97.43,132.15,0.02,0.06,0.02,67.25,0.01,2.09,22.27,6.38,16.23,7.56,2.7,5.55,2.9,22.94,0.2,10.83,4.82,2.81,10.11,0.97,6.33,0.05,2.34,4.22,0.13,0.32,0.77,0.26,0.43,0.25,1.42,6.5,0.43,0.06,0.21,0.01,0.077,18643.54
71,United,2022-07-13,22:40,pre,180.38,0.45,122.62,0.13,21.87,69.99,0.21,0.01,0.04,0.01,3.19,25.04,38.29,0,0.04,0.01,24.79,0.04,0.97,12.21,3.35,8.24,4.02,1.41,3.45,0.13,12.47,0.12,7.02,3.55,1.87,6.82,0.61,4.06,0.02,1.4,2.49,0.09,0.15,0.37,0.16,0.21,0.1,0.63,0.96,0.13,0.01,0.08,0.002,0.009,2223.89
72,United,2022-07-18,4:28,pre,186.8,0.39,128.91,0.1,22.75,62.3,0.22,0,0.02,0.01,1.73,21.53,24.46,0,0.02,0.01,11.67,0.07,0.46,4.11,1.33,3.62,1.74,0.56,1.4,0.06,5.11,0.03,2.15,0.89,0.51,1.53,0.11,0.91,0.01,0.23,0.42,0.02,0.03,0.07,0.03,0.05,0.02,0.14,0.22,0.08,0.01,0.02,0.001,0.015,1930.99
73,United,2022-07-29,1:16,pre,22011.24,0.46,20015.18,0.07,3689.5,11093.9,0.07,0,0.01,0.39,266.39,3612.46,5184.8,0,0.02,0.01,2248.21,0.04,103.36,687.41,357.59,534.62,335.43,122.36,285.94,6.57,860.98,6.39,317.43,194.96,103.2,312.44,25.49,161.99,1.17,49.46,71.07,3.34,5.61,11.98,4.32,6.66,3.14,19.44,18.42,3.62,0.6,2.24,0.002,0.011,110559.05
74,United,2022-08-16,1:24,pre,1475.74,0.17,1100.18,0.07,191.88,586.01,0.23,0.01,0.02,0.02,20.99,188.16,273.11,0,0.04,0.01,170.24,0.05,5.62,64.12,18.36,46.69,21.98,8.11,17.79,0.42,60.73,0.44,30.07,15.6,8.53,26.94,2.28,15.24,0.05,5.41,9.24,0.29,0.54,1.5,0.42,0.8,0.37,2.46,4.29,0.38,0.05,0.27,0.001,0.011,4384.87
75,United,2022-08-31,19:38,pre,379.04,0.43,261.96,0.1,44.77,138.06,0.23,0.01,0.02,0.01,4.66,44.05,62.67,0,0.02,0.01,33.97,0.11,1.19,11.9,3.98,9.51,4.42,1.58,3.9,0.1,11.39,0.09,5.86,2.82,1.5,4.72,0.4,2.58,0.02,0.85,1.37,0.04,0.08,0.19,0.07,0.11,0.05,0.32,0.54,0.11,0.02,0.05,0.001,0.012,2807.95
76,United,2022-09-06,19:35,pre,428.98,0.57,264.15,0.12,45.34,132.13,0.32,0.01,0.03,0.01,4.6,45.65,58.65,0.01,0.03,0.01,36.72,0.34,1.72,16.55,4.94,11.19,5.59,1.89,4.36,0.14,20.77,0.12,8.27,4.23,2.49,8.06,0.63,5.1,0.04,1.51,2.91,0.1,0.14,0.39,0.16,0.28,0.09,0.73,1.18,0.15,0.02,0.08,0.001,1.48,3077.37
77,United,2022-09-26,19:19,pre,367.67,0.62,232.07,0.15,38.55,114.86,0.34,0.01,0.02,0.01,3.84,37.53,50.89,0.01,0.02,0.01,28.18,0.02,0.96,10.8,3.72,8.51,3.97,1.43,3.72,0.09,10.87,0.07,5.59,2.71,1.49,4.71,0.48,2.73,0.02,0.86,1.49,0.05,0.08,0.2,0.08,0.14,0.06,0.36,0.64,0.08,0.02,0.05,0.002,0.014,2854.12
78,United,2022-07-13,22:40,pre,503.06,0.6,275.95,0.22,47.41,149.77,0.24,0.01,0.06,0.02,8.87,53.06,80.7,0.01,0.05,0.01,54.68,0.05,4.31,40.1,9.96,22.38,10.72,4,9.83,0.26,50.47,0.32,19.17,8.01,4.03,16.19,1.42,10.43,0.09,3.56,6.58,0.28,0.5,1.15,0.41,0.66,0.31,2.01,2.27,0.45,0.05,0.2,0.002,0.011,4254.71
79,United,2022-07-29,1:16,pre,27639.13,2.12,19848.6,0.62,3353.95,10249.64,1.07,0.04,0.14,0.28,260.95,3312.51,4742.97,0,0.02,0.01,3102.13,0.04,95.3,838.11,227.72,550.78,257.62,93.45,230.3,6.86,918.67,4.62,304.95,149.62,81.24,246.95,18.8,109.32,1.05,38,58.04,2.92,4.68,9.57,4.01,5.54,2.61,15.49,13.08,2.91,0.36,1.5,0.002,0.05,112136.02
80,United,2022-08-16,1:26,pre,620.61,0.66,349.67,0.16,80.5,180.54,0.25,0.01,0.04,0.02,8.85,58.12,83.3,0,0.03,0.01,77.06,0.06,3.54,26.54,8.11,19.12,8.94,3.26,7.84,0.18,32.78,0.2,11,5.6,3.16,9.77,0.76,5.14,0.05,1.7,2.71,0.11,0.17,0.43,0.14,0.22,0.11,0.66,0.86,0.21,0.02,0.07,0.001,0.012,4680.83
81,United,2022-09-05,19:12,pre,1269.21,0.84,684.83,0.21,114.04,332.01,0.33,0.01,0.04,0.02,15.31,112.85,146.53,0,0.04,0.01,131.32,0.27,7.55,49.76,15.39,35.35,17.09,5.84,14.25,7.5,75.88,0.32,23.52,11.73,6.77,20.79,1.68,13.01,0.06,3.71,6.88,0.26,0.42,1.09,0.42,0.77,0.26,1.93,2.59,0.42,0.07,0.27,0.001,0.05,7864.81
82,Anthem,2021-04-26,11:04,prod,8.22,0.49,4.01,0.06,0.7,1.97,0.57,0.01,0.01,0.01,0.06,0.74,0.74,0,0.02,0.01,0.29,0,0.02,0.1,0.11,0.06,0.04,0.03,0.03,0.04,0.11,0.01,0.17,0.02,0.02,0.05,0.02,0.06,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.09,0.01,0.01,0.001,0.012,2261.53
83,Anthem,2021-06-23,9:48,prod,2879.55,4.87,2916.48,1.03,768.17,1830.01,5.06,0.09,0.21,0.24,44.09,615.94,816.98,0.19,0.29,0.12,306.6,1.25,9.04,76.26,29.57,68.83,31.51,11.06,19.73,14.59,66.49,0.46,33.02,14.66,7.19,20.65,1.94,12.15,0.11,3.28,4.37,0.17,0.31,0.76,0.25,0.41,0.21,1.18,1.14,0.08,0.01,0.16,0.003,0.071,6753.22
84,Interchange,2020-12-20,12:58,prod,336.28,1.26,370.23,0.2,108.57,266.66,0.9,0.02,0.04,0.02,6.62,93.87,121.97,0,0.02,0.01,37.71,0,1.02,6.84,3.54,7.52,3.22,1.14,2.63,1.66,6.05,0.05,2.88,0.93,0.45,1.43,0.16,0.89,0.02,0.23,0.31,0.02,0.03,0.05,0.02,0.02,0.02,0.09,0.14,0.08,0.01,0.01,0.008,0.018,3923.35
85,Interchange,2021-06-01,10:48,prod,9.22,0.56,5.96,0.11,1.18,3.8,0.29,0.01,0.02,0.01,0.18,1.57,2.12,0,0.02,0.01,1.24,0.01,0.05,0.67,0.23,0.44,0.23,0.09,0.28,0.15,0.54,0.02,0.46,0.15,0.1,0.28,0.05,0.23,0.01,0.08,0.11,0.01,0.02,0.02,0.02,0.01,0.01,0.04,0.04,0.08,0.01,0.01,0.001,0.011,1995.02
86,Interchange,2021-06-14,10:00,prod,489.36,0.83,704.09,0.15,161.84,385.11,0.32,0.01,0.03,0.02,10.79,148.13,195.38,0,0.02,0.01,61.77,0.1,1.73,12.42,5.53,12.4,5.28,1.79,5.39,2.52,10.83,0.08,4.99,1.85,1.04,2.65,0.19,1.31,0.01,0.33,0.51,0.02,0.04,0.07,0.02,0.04,0.02,0.12,0.15,0.08,0.01,0.02,0.001,0.018,3029.89
87,Livingston,2021-04-26,10:38,prod,25.85,0.39,48.45,0.07,18.93,63.22,0.44,0.01,0.01,0.01,1.99,24.25,25.92,0,0.02,0.01,13.92,0,0.54,2.82,1.26,3.08,1.33,0.41,0.82,0.59,4.02,0.13,1.31,0.44,0.27,0.82,0.07,0.49,0.01,0.12,0.21,0.02,0.02,0.03,0.02,0.02,0.01,0.05,0.06,0.08,0.01,0.01,0.001,0.011,2095.6
88,Livingston,2020-11-17,17:17,prod,70.32,1.09,131.4,0.19,34.24,67.44,0.8,0.01,0.03,0.01,0.99,20.64,19.5,0.01,0.03,0.01,4.56,0,0.19,1.12,0.71,1.33,0.58,0.19,0.49,0.29,1.45,0.02,0.76,0.2,0.11,0.35,0.12,0.64,0.01,0.18,0.11,0.02,0.02,0.03,0.02,0.01,0.01,0.04,0.04,0.08,0.01,0.01,0.02,0.017,2628.04
