Sampling.Site,Endpoint,min,p05,p50,p95,max,OBJECTID,GIS_ID,GlobalID,SHAPE_Leng,BUFF_DIST,Shape_Le_1,Shape_Area
Interchange A,cardiovascular,0.209038803333333,0.211595354,0.23460431,0.257613266,0.260169816666667,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,developmental,0.163034465000227,0.163965529161855,0.172345106616503,0.180724684071151,0.181655748232779,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,gastrointestinal,0.00149034047619048,0.00160765142857143,0.00266345,0.00371924857142857,0.00383655952380952,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,hematological,0.00168401528425604,0.00176775125209115,0.00252137496260715,0.00327499867312315,0.00335873464095826,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,hepatic,0.000298982380952381,0.000319361142857143,0.00050277,0.000686178857142857,0.000706557619047619,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,immunological,0.0208489984874644,0.0215908942679093,0.028267956291913,0.0349450183159167,0.0356869140963616,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,neurological,0.304931837105333,0.306433160239716,0.319945068449165,0.333456976658614,0.334958299792997,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,ocular,0.00203255411255411,0.00216802597402597,0.00338727272727273,0.00460651948051948,0.00474199134199134,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,renal,0.000345556988408011,0.000367350934998505,0.00056349645431295,0.000759641973627395,0.000781435920217889,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,reproductive,0.115436488721579,0.116488519311968,0.125956794625466,0.135425069938963,0.136477100529352,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange A,respiratory,0.213867044675325,0.216285805738584,0.238054655307918,0.259823504877252,0.262242265940511,1203,619034,{E54EE4FA-2A1F-4489-94F3-23F57E9B33F8},2622.07077991,5280,35707.9877308,101285295.061
Interchange B,cardiovascular,0.246221708333333,0.247002220833333,0.2547443775,0.279373997,0.28313465,1202,619033,{D4571575-DF01-4490-8C74-57BF97C606E5},2071.51267526,5280,35239.6940095,98711630.2076
Interchange B,developmental,0.18217681598829,0.182192600137518,0.193763550848415,0.208496595400992,0.209070396110516,1202,619033,{D4571575-DF01-4490-8C74-57BF97C606E5},2071.51267526,5280,35239.6940095,98711630.2076
Interchange B,gastrointestinal,0.00219875,0.00246702125,0.00415035476190476,0.00451445589285714,0.00454992142857143,1202,619033,{D4571575-DF01-4490-8C74-57BF97C606E5},2071.51267526,5280,35239.6940095,98711630.2076
Interchange B,hematological,0.0027344121722096,0.00279818056259594,0.00345842424606366,0.00527366343199989,0.00554125455811597,1202,619033,{D4571575-DF01-4490-8C74-57BF97C606E5},2071.51267526,5280,35239.6940095,98711630.2076
Interchange B,hepatic,0.00062939,0.00063419225,0.000702033809523809,0.00102065046428571,0.00106970714285714,1202,619033,{D4571575-DF01-4490-8C74-57BF97C606E5},2071.51267526,5280,35239.6940095,98711630.2076
Interchange B,immunological,0.0275734611593501,0.028132459648666,0.0337551187035209,0.047649228866795,0.0496678951987731,1202,619033,{D4571575-DF01-4490-8C74-57BF97C606E5},2071.51267526,5280,35239.6940095,98711630.2076
Interchange B,neurological,0.328064771993126,0.332259881689384,0.359078345637023,0.391289030370668,0.396435708440928,1202,619033,{D4571575-DF01-4490-8C74-57BF97C606E5},2071.51267526,5280,35239.6940095,98711630.2076
Interchange B,ocular,0.00308363636363636,0.00332375,0.00489213203463203,0.00565113744588744,0.00574841991341991,1202,619033,{D4571575-DF01-4490-8C74-57BF97C606E5},2071.51267526,5280,35239.6940095,98711630.2076
Interchange B,renal,0.00070967118112067,0.000710405163043478,0.000758762862457236,0.00111566695750434,0.00117085030336245,1202,619033,{D4571575-DF01-4490-8C74-57BF97C606E5},2071.51267526,5280,35239.6940095,98711630.2076
Interchange B,reproductive,0.1325796760756,0.132824924007152,0.139027937210399,0.151116647458972,0.152400547810287,1202,619033,{D4571575-DF01-4490-8C74-57BF97C606E5},2071.51267526,5280,35239.6940095,98711630.2076
Interchange B,respiratory,0.251403364753526,0.252119570744309,0.260079508216729,0.282979852509007,0.286332600879765,1202,619033,{D4571575-DF01-4490-8C74-57BF97C606E5},2071.51267526,5280,35239.6940095,98711630.2076
Livingston,cardiovascular,0.250758655,0.252130707416667,0.264479179166667,0.282131227166667,0.284092565833333,1201,619032,{7B8A6D44-1ED3-488B-9FED-563255B68735},2062.02672033,5280,35232.3301985,98739850.0634
Livingston,developmental,0.192616233564052,0.193483529248291,0.201289190406439,0.202963565333149,0.203149606991673,1201,619032,{7B8A6D44-1ED3-488B-9FED-563255B68735},2062.02672033,5280,35232.3301985,98739850.0634
Livingston,gastrointestinal,0.00127202202380952,0.00136422369047619,0.00219403869047619,0.00716858994047619,0.00772131785714285,1201,619032,{7B8A6D44-1ED3-488B-9FED-563255B68735},2062.02672033,5280,35232.3301985,98739850.0634
Livingston,hematological,0.00191503369110134,0.00199944304868759,0.0027591272669638,0.00426959879419862,0.00443742896389138,1201,619032,{7B8A6D44-1ED3-488B-9FED-563255B68735},2062.02672033,5280,35232.3301985,98739850.0634
Livingston,hepatic,0.000277360119047619,0.000293180452380952,0.000435563452380952,0.00115110470238095,0.00123060928571429,1201,619032,{7B8A6D44-1ED3-488B-9FED-563255B68735},2062.02672033,5280,35232.3301985,98739850.0634
Livingston,immunological,0.0278402385409003,0.0289725317131728,0.0391631702636253,0.0393569834715562,0.0393785182724374,1201,619032,{7B8A6D44-1ED3-488B-9FED-563255B68735},2062.02672033,5280,35232.3301985,98739850.0634
Livingston,neurological,0.304791315144596,0.30552658687327,0.31214403243134,0.634606997260344,0.670436215574678,1201,619032,{7B8A6D44-1ED3-488B-9FED-563255B68735},2062.02672033,5280,35232.3301985,98739850.0634
Livingston,ocular,0.0020131277056277,0.00213530952380952,0.00323494588744589,0.00814942316017316,0.00869547619047619,1201,619032,{7B8A6D44-1ED3-488B-9FED-563255B68735},2062.02672033,5280,35232.3301985,98739850.0634
Livingston,renal,0.00034332369341017,0.000361777830045061,0.000527865059759082,0.00121195714444869,0.00128796737608087,1201,619032,{7B8A6D44-1ED3-488B-9FED-563255B68735},2062.02672033,5280,35232.3301985,98739850.0634
Livingston,reproductive,0.1374564724681,0.138136255273502,0.14425430052212,0.149955365285293,0.150588816925646,1201,619032,{7B8A6D44-1ED3-488B-9FED-563255B68735},2062.02672033,5280,35232.3301985,98739850.0634
Livingston,respiratory,0.259569062642089,0.260389287633291,0.267771312554113,0.284308024996928,0.286145437490574,1201,619032,{7B8A6D44-1ED3-488B-9FED-563255B68735},2062.02672033,5280,35232.3301985,98739850.0634
Northwest A,cardiovascular,0.184023309166667,0.189522160083333,0.239011818333333,0.260752717833333,0.263168373333333,1204,619035,{C2CDBC1D-6A29-497E-B54E-F0EF42C308F2},1430.1358162,5280,34600.7493564,95212289.0081
Northwest A,developmental,0.174257306445037,0.175367468028606,0.185358922280721,0.192012293417595,0.192751556877248,1204,619035,{C2CDBC1D-6A29-497E-B54E-F0EF42C308F2},1430.1358162,5280,34600.7493564,95212289.0081
Northwest A,gastrointestinal,0.000745095238095238,0.00112672488095238,0.00456139166666667,0.00596218755952381,0.00611783154761904,1204,619035,{C2CDBC1D-6A29-497E-B54E-F0EF42C308F2},1430.1358162,5280,34600.7493564,95212289.0081
Northwest A,hematological,0.00186132410608746,0.00203831192380877,0.00363120228330062,0.00547265986645563,0.00567726626458397,1204,619035,{C2CDBC1D-6A29-497E-B54E-F0EF42C308F2},1430.1358162,5280,34600.7493564,95212289.0081
Northwest A,hepatic,0.00019921619047619,0.000258514404761905,0.000792198333333333,0.00111359679761905,0.00114930773809524,1204,619035,{C2CDBC1D-6A29-497E-B54E-F0EF42C308F2},1430.1358162,5280,34600.7493564,95212289.0081
Northwest A,immunological,0.030663637061219,0.0315609091891818,0.0396363583408466,0.0621877808842128,0.0646934945001424,1204,619035,{C2CDBC1D-6A29-497E-B54E-F0EF42C308F2},1430.1358162,5280,34600.7493564,95212289.0081
Northwest A,neurological,0.276027231880573,0.283175205697835,0.347506970053198,0.63018190216947,0.661590227960167,1204,619035,{C2CDBC1D-6A29-497E-B54E-F0EF42C308F2},1430.1358162,5280,34600.7493564,95212289.0081
Northwest A,ocular,0.00157324675324675,0.00197346753246753,0.00557545454545454,0.00756006168831168,0.00778057359307359,1204,619035,{C2CDBC1D-6A29-497E-B54E-F0EF42C308F2},1430.1358162,5280,34600.7493564,95212289.0081
Northwest A,renal,0.000278452126305067,0.000338183890927913,0.000875769772533519,0.0012392835718576,0.00127967399400472,1204,619035,{C2CDBC1D-6A29-497E-B54E-F0EF42C308F2},1430.1358162,5280,34600.7493564,95212289.0081
Northwest A,reproductive,0.111956034784352,0.113914629854723,0.131541985488064,0.140085493168066,0.141034771799177,1204,619035,{C2CDBC1D-6A29-497E-B54E-F0EF42C308F2},1430.1358162,5280,34600.7493564,95212289.0081
Northwest A,respiratory,0.191943304130708,0.197216612699064,0.244676389814272,0.262766016414188,0.26477597492529,1204,619035,{C2CDBC1D-6A29-497E-B54E-F0EF42C308F2},1430.1358162,5280,34600.7493564,95212289.0081
Northwest B,cardiovascular,0.224186433333333,0.225617764583333,0.238499745833333,0.263296886333333,0.266052124166667,1205,619036,{FF8C5855-5E87-4198-A681-CA6D0850D1EF},2228.05206511,5280,35397.5294542,99553443.5234
Northwest B,developmental,0.172014357116131,0.173544131438165,0.187312100336465,0.210000925628629,0.212521906216647,1205,619036,{FF8C5855-5E87-4198-A681-CA6D0850D1EF},2228.05206511,5280,35397.5294542,99553443.5234
Northwest B,gastrointestinal,0.000990092261904762,0.00110960952380952,0.00218526488095238,0.00938167934523809,0.010181280952381,1205,619036,{FF8C5855-5E87-4198-A681-CA6D0850D1EF},2228.05206511,5280,35397.5294542,99553443.5234
Northwest B,hematological,0.00154003971017568,0.00159389318700582,0.00207857447847702,0.00718329315158776,0.00775048411526674,1205,619036,{FF8C5855-5E87-4198-A681-CA6D0850D1EF},2228.05206511,5280,35397.5294542,99553443.5234
Northwest B,hepatic,0.00021622130952381,0.000234956619047619,0.000403574404761905,0.00161003372619048,0.00174408476190476,1205,619036,{FF8C5855-5E87-4198-A681-CA6D0850D1EF},2228.05206511,5280,35397.5294542,99553443.5234
Northwest B,immunological,0.0228602015529436,0.0230871180148501,0.0251293661720081,0.0744254130923295,0.0799027516390319,1205,619036,{FF8C5855-5E87-4198-A681-CA6D0850D1EF},2228.05206511,5280,35397.5294542,99553443.5234
Northwest B,neurological,0.283944257518199,0.284134471811165,0.285846400447858,0.670260972510014,0.712973702739143,1205,619036,{FF8C5855-5E87-4198-A681-CA6D0850D1EF},2228.05206511,5280,35397.5294542,99553443.5234
Northwest B,ocular,0.00160038961038961,0.00172416558441558,0.00283814935064935,0.0112673214285714,0.0122038961038961,1205,619036,{FF8C5855-5E87-4198-A681-CA6D0850D1EF},2228.05206511,5280,35397.5294542,99553443.5234
Northwest B,renal,0.000271402718498467,0.000290054878987168,0.000457924323385481,0.00177193988475825,0.00191794161379967,1205,619036,{FF8C5855-5E87-4198-A681-CA6D0850D1EF},2228.05206511,5280,35397.5294542,99553443.5234
Northwest B,reproductive,0.126924904907851,0.127888633061454,0.136562186443878,0.139701095154137,0.140049862788611,1205,619036,{FF8C5855-5E87-4198-A681-CA6D0850D1EF},2228.05206511,5280,35397.5294542,99553443.5234
Northwest B,respiratory,0.23658711975981,0.23706705718126,0.241386493974305,0.265054027724201,0.267683753696411,1205,619036,{FF8C5855-5E87-4198-A681-CA6D0850D1EF},2228.05206511,5280,35397.5294542,99553443.5234
United,cardiovascular,0.194832025,0.201572822,0.262239995,0.272135183,0.273234648333333,1206,619037,{EE0FA887-9D33-4974-8A63-688293A4BA44},2725.45802312,5280,35894.8471039,102310428.983
United,developmental,0.158672198300291,0.162472438561881,0.19667460091619,0.201044153281779,0.201529659100178,1206,619037,{EE0FA887-9D33-4974-8A63-688293A4BA44},2725.45802312,5280,35894.8471039,102310428.983
United,gastrointestinal,0.00169475595238095,0.00172319357142857,0.00197913214285714,0.00598862571428571,0.006434125,1206,619037,{EE0FA887-9D33-4974-8A63-688293A4BA44},2725.45802312,5280,35894.8471039,102310428.983
United,hematological,0.00235213892629832,0.00238368753171447,0.00266762498045984,0.00418892730605907,0.00435796089779232,1206,619037,{EE0FA887-9D33-4974-8A63-688293A4BA44},2725.45802312,5280,35894.8471039,102310428.983
United,hepatic,0.000353679761904762,0.000360559857142857,0.000422480714285714,0.00101216457142857,0.001077685,1206,619037,{EE0FA887-9D33-4974-8A63-688293A4BA44},2725.45802312,5280,35894.8471039,102310428.983
United,immunological,0.0335155197308955,0.0337445999630014,0.0358063220519551,0.0402674385796103,0.0407631181937943,1206,619037,{EE0FA887-9D33-4974-8A63-688293A4BA44},2725.45802312,5280,35894.8471039,102310428.983
United,neurological,0.299998453277961,0.300053207617326,0.30054599667161,0.394972310594266,0.405464123252339,1206,619037,{EE0FA887-9D33-4974-8A63-688293A4BA44},2725.45802312,5280,35894.8471039,102310428.983
United,ocular,0.00258495670995671,0.00261858008658009,0.00292119047619048,0.00699507359307359,0.00744772727272727,1206,619037,{EE0FA887-9D33-4974-8A63-688293A4BA44},2725.45802312,5280,35894.8471039,102310428.983
United,renal,0.000434266664175552,0.000441402957507114,0.00050562959749117,0.00109031733373191,0.00115528263775866,1206,619037,{EE0FA887-9D33-4974-8A63-688293A4BA44},2725.45802312,5280,35894.8471039,102310428.983
United,reproductive,0.109917890418416,0.113133701888452,0.142076005118778,0.146411678885852,0.146893420415527,1206,619037,{EE0FA887-9D33-4974-8A63-688293A4BA44},2725.45802312,5280,35894.8471039,102310428.983
United,respiratory,0.202394611143695,0.208677260109203,0.265221100798771,0.274804228409161,0.275869020365871,1206,619037,{EE0FA887-9D33-4974-8A63-688293A4BA44},2725.45802312,5280,35894.8471039,102310428.983
